1,Cyprus
2,Unknown
3,Turkey
4,Switzerland
5,New Zealand
6,Italy
7,Uruguay
8,Hungary
9,US
10,China
11,Luxembourg
12,Czech Republic
13,US-France
14,Romania
15,Montenegro
16,Brazil
17,Austria
18,Australia
19,Germany
20,Serbia
21,Macedonia
22,Canada
23,South Korea
24,Portugal
25,Albania
26,Ukraine
27,Lithuania
28,Argentina
29,Bulgaria
30,Spain
31,Croatia
32,Tunisia
33,England
34,Slovenia
35,Egypt
36,Greece
37,Georgia
38,India
39,Morocco
40,Moldova
41,Chile
42,France
43,Slovakia
44,Israel
45,Mexico
46,South Africa
47,Lebanon
48,Japan
49,Bosnia and Herzegovina
